group,city,count
Your Fans,Melbourne, Victoria,179
Your Fans,Sydney, New South Wales,132
Your Fans,Perth, Western Australia,42
Your Fans,Adelaide, South Australia,34
Your Fans,Brisbane, Queensland,16
Your Fans,Gold Coast, Queensland,15
Your Fans,Sunshine Coast, Queensland,4
Your Fans,Mount Cottrell, Victoria,3
Your Fans,Canberra, Australian Capital Territory,3
Your Fans,Werribee South, Victoria,3
Your Fans,Ballarat, Victoria,3
Your Fans,Craigieburn, Victoria,2
Your Fans,Wollongong, New South Wales,2
Your Fans,Aveley, Western Australia,2
Your Fans,Erina, New South Wales,2
Your Fans,Hall, Australian Capital Territory,2
Your Fans,Darwin, Northern Territory,2
Your Fans,Kwinana, Western Australia,2
Your Fans,Delhi, Delhi,2
Your Fans,Eynesbury, Victoria,2
Your Fans,Geelong, Victoria,2
Your Fans,Sunbury, Victoria,2
Your Fans,Ravenhall, Victoria,2
Your Fans,Cairns, Queensland,2
Your Fans,Warnbro, Western Australia,2
Your Fans,Bathurst, New South Wales,2
Your Fans,Officer, Victoria,2
Your Fans,Truganina, Victoria,2
Your Fans,Armadale, Western Australia,2
Your Fans,Ipswich, Queensland,2
Your Fans,Raymond Terrace, New South Wales,2
Your Fans,Mandurah, Western Australia,2
Your Fans,Pakenham, Victoria,2
Your Fans,Carabooda, Western Australia,2
Your Fans,Ellenbrook, Western Australia,2
Your Fans,Windale, New South Wales,2
Your Fans,Dungog, New South Wales,2
Your Fans,Hervey Bay, Queensland,1
Your Fans,Marsden Park, New South Wales,1
Your Fans,Newstead, England,1
Your Fans,Harrisdale, Western Australia,1
Your Fans,Tainan, Tainan,1
Your Fans,Tweed Heads West, New South Wales,1
Your Fans,Queanbeyan, New South Wales,1
Your Fans,Sedgwick, Victoria,1
Your Fans,South Hobart, Tasmania,1
Your Fans,Bundeena, New South Wales,1
Your Fans,Thrumster, New South Wales,1
Your Fans,Bribie, Queensland,1
Your Fans,Quezon City, Metro Manila,1
Your Fans,Kurunjang, Victoria,1
Your Fans,Brookfield, Victoria,1
Your Fans,Dabolim, Goa,1
Your Fans,Casino, New South Wales,1
Your Fans,Woy Woy, New South Wales,1
Your Fans,Cobram, Victoria,1
Your Fans,Port Moresby, Port Moresby,1
Your Fans,Batlow, New South Wales,1
Your Fans,Wellington, Wellington Region,1
Your Fans,Eglinton, Western Australia,1
Your Fans,Parañaque, Metro Manila,1
Your Fans,Auckland, Auckland Region,1
Your Fans,Laverton North, Victoria,1
Your Fans,Joondalup, Western Australia,1
Your Fans,Keith, South Australia,1
Your Fans,Lovely Banks, Victoria,1
Your Fans,Quipolly, New South Wales,1
Your Fans,Huntly, Waikato,1
Your Fans,Haining, Zhejiang,1
Your Fans,Caboolture, Queensland,1
Your Fans,Greenbank, Queensland,1
Your Fans,Ulladulla, New South Wales,1
Your Fans,Teddington, England,1
Your Fans,Bah, Uttar Pradesh,1
Your Fans,West Moonah, Tasmania,1
Your Fans,Iranshahr, Sistan and Baluchestan Province,1
Your Fans,Ourimbah, New South Wales,1
Your Fans,Beachlands, Auckland Region,1
Your Fans,Kunshan, Jiangsu,1
Your Fans,Blackwater, Queensland,1
Your Fans,Karachi, Sindh,1
Your Fans,Newman, Western Australia,1
Your Fans,Mandaluyong, Metro Manila,1
Your Fans,Tintinara, South Australia,1
Your Fans,Mareeba, Queensland,1
Your Fans,Bangalore, Karnataka,1
Your Fans,Playford (C), South Australia,1
Your Fans,Kincumber, New South Wales,1
Your Fans,Albany Creek, Queensland,1
Your Fans,Townsville, Queensland,1
Your Fans,Bullsbrook, Western Australia,1
Your Fans,Clyde, Victoria,1
