date,Total Followers,Paid Total Followers
06/02/2026,49975,
06/03/2026,49987,
06/04/2026,50001,
06/05/2026,50020,
06/06/2026,50027,
06/07/2026,50033,
06/08/2026,50042,
06/09/2026,50058,
06/10/2026,50078,
06/11/2026,50087,
06/12/2026,50107,
06/13/2026,50115,
06/14/2026,50123,
06/15/2026,50140,
06/16/2026,50155,
06/17/2026,50164,
06/18/2026,50179,
06/19/2026,50189,
06/20/2026,50194,
06/21/2026,50202,
06/22/2026,50219,
06/23/2026,50239,
06/24/2026,50261,
06/25/2026,50276,
06/26/2026,50289,
06/27/2026,50296,
06/28/2026,50306,
06/29/2026,50325,
06/30/2026,50349,
