hashtags,Posts count,Impressions,Engagement Rate
#OurPeopleAreTheDifference,1,4865,2.2610483042137717
#Careers,1,4865,2.2610483042137717
#DiversityandBelonging,1,4865,2.2610483042137717
#PilbaraSummit2026,1,5179,2.568063332689708
#HorizonCable,4,4346.5,21.18659813693565
#DigitalInfrastructure,7,3758.4285714285716,21.908829841695425
#ConnectingAustralia,7,3758.4285714285716,21.908829841695425
#healthandsafety,1,4054,10.138135175135668
#ourpeoplearethedifference,1,4054,10.138135175135668
#AI,1,4966,16.02899718082964
#PushUpChallenge,1,4671,17.597944765574823
#TeamVocus,1,4671,17.597944765574823
