date,Total Followers,Paid Total Followers
05/01/2026,561,
05/02/2026,569,
05/03/2026,568,
05/04/2026,568,
05/05/2026,564,
05/06/2026,564,
05/07/2026,564,
05/08/2026,564,
05/09/2026,564,
05/10/2026,564,
05/11/2026,566,
05/12/2026,562,
05/13/2026,564,
05/14/2026,560,
05/15/2026,564,
05/16/2026,560,
05/17/2026,564,
05/18/2026,562,
05/19/2026,562,
05/20/2026,565,
05/21/2026,565,
05/22/2026,568,
05/23/2026,570,
05/24/2026,574,
05/25/2026,570,
05/26/2026,574,
05/27/2026,578,
05/28/2026,576,
05/29/2026,578,
05/30/2026,580,
05/31/2026,583,
