group,city,count
Your Fans,Melbourne, Victoria,170
Your Fans,Sydney, New South Wales,127
Your Fans,Perth, Western Australia,44
Your Fans,Adelaide, South Australia,27
Your Fans,Brisbane, Queensland,16
Your Fans,Gold Coast, Queensland,13
Your Fans,Canberra, Australian Capital Territory,6
Your Fans,Sunshine Coast, Queensland,4
Your Fans,Ipswich, Queensland,3
Your Fans,Mount Cottrell, Victoria,3
Your Fans,Kwinana, Western Australia,3
Your Fans,Werribee South, Victoria,3
Your Fans,Warnbro, Western Australia,3
Your Fans,Wollongong, New South Wales,2
Your Fans,Erina, New South Wales,2
Your Fans,Bangkok, Bangkok,2
Your Fans,Darwin, Northern Territory,2
Your Fans,Raymond Terrace, New South Wales,2
Your Fans,Eynesbury, Victoria,2
Your Fans,Geelong, Victoria,2
Your Fans,Truganina, Victoria,2
Your Fans,Ravenhall, Victoria,2
Your Fans,Cairns, Queensland,2
Your Fans,Craigieburn, Victoria,2
Your Fans,Jinan, Shandong,2
Your Fans,Aveley, Western Australia,2
Your Fans,Joondalup, Western Australia,2
Your Fans,Bathurst, New South Wales,2
Your Fans,Sunbury, Victoria,2
Your Fans,Marsden Park, New South Wales,2
Your Fans,Laverton North, Victoria,2
Your Fans,Hervey Bay, Queensland,2
Your Fans,Hall, Australian Capital Territory,2
Your Fans,The Vines, Western Australia,1
Your Fans,Kooralbyn, Queensland,1
Your Fans,Smeaton, Victoria,1
Your Fans,Lake Lonsdale, Victoria,1
Your Fans,Mount Barker, South Australia,1
Your Fans,Margaret River, Western Australia,1
Your Fans,Iranshahr, Sistan and Baluchestan Province,1
Your Fans,Newcastle, New South Wales,1
Your Fans,Harrisdale, Western Australia,1
Your Fans,Bintulu, Sarawak,1
Your Fans,Solingen, Nordrhein-Westfalen,1
Your Fans,Ellenbrook, Western Australia,1
Your Fans,Hasanparthy, Telangana,1
Your Fans,Rania, Haryana,1
Your Fans,Chisholm, New South Wales,1
Your Fans,Al-Sib, Muscat Governorate,1
Your Fans,Bribie, Queensland,1
Your Fans,Quezon City, Metro Manila,1
Your Fans,Caboolture, Queensland,1
Your Fans,Delaneys Creek, Queensland,1
Your Fans,North Deep Creek, Queensland,1
Your Fans,Teddington, England,1
Your Fans,Playford (C), South Australia,1
Your Fans,Bacolod CIty, Western Visayas,1
Your Fans,East Jindabyne, New South Wales,1
Your Fans,Wamberal, New South Wales,1
Your Fans,Eglinton, Western Australia,1
Your Fans,Nabiac, New South Wales,1
Your Fans,Blackwall, New South Wales,1
Your Fans,Bundeena, New South Wales,1
Your Fans,Greenvale, Victoria,1
Your Fans,Loxton, South Australia,1
Your Fans,Armadale, Western Australia,1
Your Fans,Boolaroo, New South Wales,1
Your Fans,Mandurah, Western Australia,1
Your Fans,Makati, Metro Manila,1
Your Fans,Casino, New South Wales,1
Your Fans,Ulladulla, New South Wales,1
Your Fans,Pakenham, Victoria,1
Your Fans,Thornlands, Queensland,1
Your Fans,Piara Waters, Western Australia,1
Your Fans,Wellington, Wellington Region,1
Your Fans,The Oaks, New South Wales,1
Your Fans,Sedgwick, Victoria,1
Your Fans,Delhi, Delhi,1
Your Fans,Bomaderry, New South Wales,1
Your Fans,Brookfield, Victoria,1
Your Fans,Romsey, Victoria,1
Your Fans,Rangpur, Rangpur Division,1
Your Fans,Kincumber, New South Wales,1
Your Fans,Bah, Uttar Pradesh,1
Your Fans,Nawanshahr Doaba, Punjab region,1
Your Fans,Kuala Lumpur, Kuala Lumpur,1
Your Fans,Keith, South Australia,1
Your Fans,Belmont North, New South Wales,1
Your Fans,Helidon, Queensland,1
Your Fans,Hobart, Tasmania,1
Your Fans,Warrane, Tasmania,1
Your Fans,Deloraine, Tasmania,1
Your Fans,Mandaluyong, Metro Manila,1
Your Fans,Tintinara, South Australia,1
Your Fans,Mount Macedon, Victoria,1
Your Fans,Goondiwindi, Queensland,1
Your Fans,Wagga Wagga, New South Wales,1
Your Fans,Gormandale, Victoria,1
Your Fans,Tainan, Tainan,1
Your Fans,Eglinton, New South Wales,1
Your Fans,Townsville, Queensland,1
Your Fans,Shenzhen, Guangdong,1
Your Fans,Huntly, Waikato,1
Your Fans,Robinvale, Victoria,1
Your Fans,Benalla, Victoria,1
Your Fans,Dabolim, Goa,1
Your Fans,Phillaur, Punjab region,1
Your Fans,Cobram, Victoria,1
Your Fans,Bungendore, New South Wales,1
Your Fans,Batlow, New South Wales,1
Your Fans,Dabrowa Tarnowska, Lesser Poland Voivodeship,1
Your Fans,Tweed Heads West, New South Wales,1
Your Fans,Beachlands, Auckland Region,1
Your Fans,Lovely Banks, Victoria,1
Your Fans,Quipolly, New South Wales,1
Your Fans,Kilmore, Victoria,1
Your Fans,Slacks Creek, Queensland,1
Your Fans,Riverside, Tasmania,1
Your Fans,Parañaque, Metro Manila,1
Your Fans,Depok, West Java,1
Your Fans,South Hobart, Tasmania,1
Your Fans,Carlton, Tasmania,1
Your Fans,Nabweru, Kampala District,1
Your Fans,Wauchope, New South Wales,1
Your Fans,Newstead, England,1
Your Fans,Queanbeyan, New South Wales,1
Your Fans,Thrumster, New South Wales,1
Your Fans,Kurunjang, Victoria,1
Your Fans,Woy Woy, New South Wales,1
Your Fans,Port Moresby, Port Moresby,1
