group,gender and age,count
Your Fans,Male, 25-34,92
Your Fans,Female, 35-44,87
Your Fans,Male, 35-44,85
Your Fans,Female, 45-54,60
Your Fans,Male, 45-54,55
Your Fans,Female, 25-34,41
Your Fans,Undisclosed, 35-44,36
Your Fans,Undisclosed, 25-34,32
Your Fans,Undisclosed, 45-54,21
Your Fans,Male, 55-64,20
Your Fans,Female, 55-64,18
Your Fans,Undisclosed, 18-24,7
Your Fans,Undisclosed, 55-64,6
Your Fans,Male, 18-24,5
Your Fans,Male, 65+,5
Your Fans,Female, 65+,2
Your Fans,Female, 18-24,2
Your Fans,Undisclosed, 13-17,1
Your Fans,Undisclosed, 65+,1
Your Fans,Female, 13-17,1
