date,Total Followers,Paid Total Followers
05/02/2026,49578,
05/03/2026,49590,
05/04/2026,49598,
05/05/2026,49615,
05/06/2026,49631,
05/07/2026,49644,
05/08/2026,49658,
05/09/2026,49680,
05/10/2026,49659,
05/11/2026,49681,
05/12/2026,49697,
05/13/2026,49713,
05/14/2026,49730,
05/15/2026,49749,
05/16/2026,49759,
05/17/2026,49757,
05/18/2026,49769,
05/19/2026,49787,
05/20/2026,49783,
05/21/2026,49813,
05/22/2026,49844,
05/23/2026,49845,
05/24/2026,49850,
05/25/2026,49874,
05/26/2026,49872,
05/27/2026,49882,
05/28/2026,49921,
05/29/2026,49935,
05/30/2026,49941,
05/31/2026,49941,
