hashtags,Posts count,Impressions,Engagement Rate
#CommsDay,1,2933,3.409478349812479
#EdisonAwards,1,2933,3.409478349812479
#DigitalInfrastructure,5,4748.6,8.35912914227888
#ConnectingAustralia,4,5167,5.392000858742909
#VocusConnect2026,1,3920,4.846938775510204
#CrazyAboutCustomers,1,2143,6.532897806812879
#ProjectHorizon,1,8436,8.831199620673305
#HealthcareTechnology,1,3075,20.227642276422763
#NACC26,1,3075,20.227642276422763
#NationalAgedCareConvention,1,3075,20.227642276422763
#TeamVocus,1,5380,48.08550185873606
#WorldDayForCulturalDiversity,1,3122,53.5554131966688
#culturaldiversity,1,3122,53.5554131966688
#ourpeoplearethedifference,1,3122,53.5554131966688
#diversity,1,3122,53.5554131966688
