date,Total Followers,Paid Total Followers
04/02/2026,49153,
04/03/2026,49159,
04/04/2026,49168,
04/05/2026,49173,
04/06/2026,49180,
04/07/2026,49195,
04/08/2026,49206,
04/09/2026,49234,
04/10/2026,49264,
04/11/2026,49287,
04/12/2026,49304,
04/13/2026,49327,
04/14/2026,49346,
04/15/2026,49375,
04/16/2026,49390,
04/17/2026,49405,
04/18/2026,49404,
04/19/2026,49410,
04/20/2026,49430,
04/21/2026,49436,
04/22/2026,49441,
04/23/2026,49448,
04/24/2026,49484,
04/25/2026,49495,
04/26/2026,49502,
04/27/2026,49512,
04/28/2026,49512,
04/29/2026,49512,
