hashtags,Posts count,Impressions,Engagement Rate
#Mining,1,2760,2.608695652173913
#DigitalInfrastructure,2,2809.5,13.301549644904725
#ConnectingAustralia,2,2809.5,13.301549644904725
#SIMplan,1,2645,3.553875236294896
#ConnetingAustralia,1,2645,3.553875236294896
#SMB,1,2645,3.553875236294896
#IndigoAwards,1,2370,6.8354430379746836
#DigitalDesign,1,2370,6.8354430379746836
#UX,1,2370,6.8354430379746836
#TakeFive,1,5298,9.56964892412231
#TeamVocus,1,5298,9.56964892412231
#BehindTheScenes,1,5298,9.56964892412231
#LEO,1,2859,23.994403637635536
#Starlink,1,2859,23.994403637635536
#BalanceTheScales,1,4046,34.37963420662383
#BuildingCriticalConnections,1,4046,34.37963420662383
#EnablingBetterPossibilities,1,4046,34.37963420662383
#mentorprogram,1,4046,34.37963420662383
#IWD2026,1,4046,34.37963420662383
