group,city,count
Your Fans,Melbourne, Victoria,163
Your Fans,Sydney, New South Wales,120
Your Fans,Perth, Western Australia,41
Your Fans,Adelaide, South Australia,27
Your Fans,Brisbane, Queensland,16
Your Fans,Gold Coast, Queensland,12
Your Fans,Canberra, Australian Capital Territory,5
Your Fans,Sunshine Coast, Queensland,4
Your Fans,Mount Barker, South Australia,3
Your Fans,Mount Cottrell, Victoria,3
Your Fans,Kwinana, Western Australia,3
Your Fans,Aveley, Western Australia,2
Your Fans,Erina, New South Wales,2
Your Fans,Bangkok, Bangkok,2
Your Fans,Darwin, Northern Territory,2
Your Fans,Raymond Terrace, New South Wales,2
Your Fans,Eynesbury, Victoria,2
Your Fans,Werribee South, Victoria,2
Your Fans,Geelong, Victoria,2
Your Fans,Truganina, Victoria,2
Your Fans,Ravenhall, Victoria,2
Your Fans,Cairns, Queensland,2
Your Fans,Leppington, New South Wales,2
Your Fans,Wollongong, New South Wales,2
Your Fans,Batlow, New South Wales,1
Your Fans,Officer, Victoria,1
Your Fans,Smeaton, Victoria,1
Your Fans,Riverside, Tasmania,1
Your Fans,Iranshahr, Sistan and Baluchestan Province,1
Your Fans,Traralgon, Victoria,1
Your Fans,Newcastle, New South Wales,1
Your Fans,Eglinton, Western Australia,1
Your Fans,Agra, Uttar Pradesh,1
Your Fans,Seoul, Seoul,1
Your Fans,Bintulu, Sarawak,1
Your Fans,Ellenbrook, Western Australia,1
Your Fans,Ballarat, Victoria,1
Your Fans,Waterford West, Queensland,1
Your Fans,Hawkesbury, New South Wales,1
Your Fans,Quirindi, New South Wales,1
Your Fans,Capelle aan den IJssel, Zuid-Holland,1
Your Fans,Sandilands, South Australia,1
Your Fans,Sunbury, Victoria,1
Your Fans,Toorbul, Queensland,1
Your Fans,Rangpur, Rangpur Division,1
Your Fans,Haikou, Hainan,1
Your Fans,Eagleby, Queensland,1
Your Fans,Goondiwindi, Queensland,1
Your Fans,Albany Creek, Queensland,1
Your Fans,Newstead, England,1
Your Fans,East Jindabyne, New South Wales,1
Your Fans,Dabrowa Tarnowska, Lesser Poland Voivodeship,1
Your Fans,Harrisdale, Western Australia,1
Your Fans,Tainan, Tainan,1
Your Fans,Depok, West Java,1
Your Fans,Joondalup, Western Australia,1
Your Fans,Blackwall, New South Wales,1
Your Fans,Carlton, Tasmania,1
Your Fans,Ripon, England,1
Your Fans,Thrumster, New South Wales,1
Your Fans,Huntly, Waikato,1
Your Fans,Brookfield, Victoria,1
Your Fans,Mandaluyong, Metro Manila,1
Your Fans,Woy Woy, New South Wales,1
Your Fans,Khanpur, Punjab,1
Your Fans,Armstrong Creek, Victoria,1
Your Fans,Thornlands, Queensland,1
Your Fans,Bacolod CIty, Western Visayas,1
Your Fans,Queanbeyan, New South Wales,1
Your Fans,Adana, Adana Province,1
Your Fans,Kuala Lumpur, Kuala Lumpur,1
Your Fans,Rania, Haryana,1
Your Fans,Greenvale, Victoria,1
Your Fans,Sigi, Central Sulawesi,1
Your Fans,Quito, Pichincha Province,1
Your Fans,Loxton, South Australia,1
Your Fans,Tuggerah, New South Wales,1
Your Fans,Armadale, Western Australia,1
Your Fans,Wauchope, New South Wales,1
Your Fans,Haining, Zhejiang,1
Your Fans,Slacks Creek, Queensland,1
Your Fans,Casino, New South Wales,1
Your Fans,Woodford, New South Wales,1
Your Fans,Hervey Bay, Queensland,1
Your Fans,Nawanshahr Doaba, Punjab region,1
Your Fans,Wagga Wagga, New South Wales,1
Your Fans,Tweed Heads West, New South Wales,1
Your Fans,Solingen, Nordrhein-Westfalen,1
Your Fans,Laverton North, Victoria,1
Your Fans,South Hobart, Tasmania,1
Your Fans,El-Minaîyar, Al Sharqia Governorate,1
Your Fans,Pingyi, Shandong,1
Your Fans,Carabooda, Western Australia,1
Your Fans,Wellington, New South Wales,1
Your Fans,Warnbro, Western Australia,1
Your Fans,Kincumber, New South Wales,1
Your Fans,Margaret River, Western Australia,1
Your Fans,Bullsbrook, Western Australia,1
Your Fans,Bundeena, New South Wales,1
Your Fans,Bomaderry, New South Wales,1
Your Fans,Quezon City, Metro Manila,1
Your Fans,Mandurah, Western Australia,1
Your Fans,Newman, Western Australia,1
Your Fans,Kilmore, Victoria,1
Your Fans,Grafton, New South Wales,1
Your Fans,Mareeba, Queensland,1
Your Fans,Craigieburn, Victoria,1
Your Fans,Ipswich, Queensland,1
Your Fans,Kooralbyn, Queensland,1
Your Fans,Wellington, Wellington Region,1
Your Fans,Wamberal, New South Wales,1
Your Fans,Middlesex, Western Australia,1
Your Fans,Bathurst, New South Wales,1
Your Fans,Cobram, Victoria,1
