group,gender and age,count
Your Fans,Male, 25-34,94
Your Fans,Female, 35-44,84
Your Fans,Male, 35-44,75
Your Fans,Female, 45-54,57
Your Fans,Male, 45-54,53
Your Fans,Female, 25-34,44
Your Fans,Undisclosed, 35-44,31
Your Fans,Undisclosed, 25-34,27
Your Fans,Male, 55-64,19
Your Fans,Undisclosed, 45-54,18
Your Fans,Female, 55-64,18
Your Fans,Undisclosed, 18-24,8
Your Fans,Undisclosed, 55-64,5
Your Fans,Male, 18-24,5
Your Fans,Male, 65+,5
Your Fans,Undisclosed, 13-17,2
Your Fans,Female, 65+,2
Your Fans,Female, 18-24,2
Your Fans,Undisclosed, 65+,1
