date,Total Followers,Paid Total Followers
04/01/2026,485,
04/02/2026,490,
04/03/2026,493,
04/04/2026,497,
04/05/2026,501,
04/06/2026,504,
04/07/2026,507,
04/08/2026,511,
04/09/2026,514,
04/10/2026,516,
04/11/2026,519,
04/12/2026,520,
04/13/2026,522,
04/14/2026,523,
04/15/2026,528,
04/16/2026,528,
04/17/2026,530,
04/18/2026,532,
04/19/2026,532,
04/20/2026,533,
04/21/2026,536,
04/22/2026,538,
04/23/2026,536,
04/24/2026,539,
04/25/2026,541,
04/26/2026,547,
04/27/2026,555,
04/28/2026,552,
04/29/2026,557,
